⺸	m	k	i	mkivv
⺸	m	k	i	mkivvv
〇	l	g	o	lgoo
㐀	q	q	i	qqivi
㐀	q	q	i	qqiviv
㐁	t	m	v	tmvia
㐁	t	m	v	tmviau
㐂	x	k	v	xkvav
㐂	x	k	v	xkvava
㐃	m	s	a	msao
㐃	m	s	a	msaoii
㐄	k	q	v	kqva
㐄	k	q	v	kqvaii
㐅	w	j	u	wjuo
㐅	w	j	u	wjuoo
㐆	y	b	u	ybuua
㐆	y	b	u	ybuuav
㐇	j	q	u	jquaaa
㐈	r	j	u	rjuoa
㐈	r	j	u	rjuoaa
㐉	d	g	v	dgvia
㐉	d	g	v	dgviaa
㐊	e	k	v	ekvoaa
㐋	t	j	v	tjvoaa
㐌	y	k	u	ykuvai
㐍	f	q	u	fquo
㐍	f	q	u	fquoaa
㐍	f	z	u	fzuoa
㐍	f	z	u	fzuoaa
㐍	q	z	u	qzuoa
㐍	q	z	u	qzuoaa
㐎	w	n	o	wnova
㐎	w	n	o	wnovaa
㐏	w	j	v	wjviaa
㐐	n	j	a	njauaa
㐑	d	y	u	dyuaa
㐑	d	y	u	dyuaaa
㐒	e	z	a	ezauaa
㐒	f	z	a	fzauaa
㐒	q	z	a	qzauaa
㐓	k	e	v	kevoa
㐓	k	e	v	kevoaa
㐔	x	x	o	xxova
㐔	x	x	o	xxovaa
㐕	y	d	i	ydiaaa
㐖	x	d	v	xdvoa
㐖	x	d	v	xdvoaa
㐗	l	z	u	lzuoa
㐗	l	z	u	lzuoaa
㐘	m	k	o	mkoua
㐘	m	k	o	mkouaa
㐙	d	d	v	ddvoa
㐙	d	d	v	ddvoaa
㐚	w	j	v	wjviaa
㐛	y	d	i	ydiva
㐛	y	d	i	ydivaa
㐜	q	q	v	qqviu
㐜	q	q	v	qqviua
㐝	j	l	i	jliuaa
㐞	q	k	v	qkviaa
㐟	f	w	i	fwivaa
㐠	r	j	u	rjuoaa
㐡	n	l	u	nlua
㐡	n	l	u	nluavu
㐢	f	j	a	fjaua
㐢	f	j	a	fjauaa
㐣	k	j	o	kjova
㐣	k	j	o	kjovaa
㐤	d	f	u	dfuauo
㐤	q	q	u	qquauo
㐥	j	j	i	jjioa
㐥	j	j	i	jjioaa
㐦	j	l	u	jluia
㐦	j	l	u	jluiaa
㐧	d	k	o	dkoai
㐧	d	k	o	dkoaiu
㐨	x	l	a	xlaoa
㐨	x	l	a	xlaoao
㐩	x	g	v	xgvvv
㐩	x	g	v	xgvvvv
㐪	h	h	o	hhovi
㐪	h	h	o	hhovia
㐫	x	y	o	xyov
㐫	x	y	o	xyovuo
㐬	l	q	o	lqovui
㐭	l	b	o	lbovi
㐭	l	b	o	lbovia
㐮	x	x	o	xxovu
㐮	x	x	o	xxovuo
㐯	y	y	o	yyovuv
㐰	e	n	i	enioo
㐱	q	n	i	qniuu
㐱	q	n	i	qniuuu
㐲	d	h	i	dhivu
㐲	d	h	i	dhivuo
㐳	w	j	i	wjivu
㐳	w	j	i	wjivua
㐴	p	f	i	pfiuao
㐵	r	j	i	rjivv
㐵	r	j	i	rjivvi
㐶	h	q	i	hqiav
㐶	h	q	i	hqiava
㐷	m	s	i	msiaa
㐷	m	s	i	msiaav
㐸	c	k	i	ckiu
㐸	c	k	i	ckiuai
㐸	q	m	i	qmiuai
㐹	x	k	i	xkiuv
㐹	x	k	i	xkiuvv
㐺	f	y	i	fyiiii
㐺	y	b	i	ybiiii
㐻	n	w	i	nwii
㐻	n	w	i	nwiiau
㐼	q	r	i	qriuv
㐼	q	r	i	qriuvu
㐽	f	r	i	friu
㐽	f	r	i	friuau
㐾	w	f	i	wfiv
㐾	w	f	i	wfivvu
㐿	e	d	i	edii
㐿	e	d	i	ediiuu
㑇	f	d	i	fdiu
㑇	f	d	i	fdiuaa
㑈	d	y	i	dyiva
㑈	d	y	i	dyivai
㑊	y	k	i	ykiov
㑊	y	k	i	ykiovu
㑋	q	y	i	qyiia
㑋	q	y	i	qyiiav
㑌	k	m	i	kmiv
㑌	k	m	i	kmivvv
㑌	k	x	i	kxiv
㑌	k	x	i	kxivvv
㑒	m	g	i	mgivi
㑒	m	g	i	mgivia
㑒	q	m	i	qmivi
㑒	q	m	i	qmivia
㑔	x	l	i	xlivua
㑕	h	b	i	hbiiai
㑙	d	d	i	ddivi
㑙	d	d	i	ddivii
㑞	y	g	i	ygiou
㑞	y	g	i	ygioui
㑩	l	l	i	lliiai
㑺	j	w	i	jwiiov
㒁	y	l	i	yliiav
㒚	y	b	i	ybiuo
㒚	y	b	i	ybiuoo
㒢	y	h	i	yhiiv
㒢	y	h	i	yhiivo
㒭	k	w	o	kwouo
㒭	k	w	o	kwouou
㒰	q	t	u	qtuov
㒰	q	t	u	qtuovi
㒲	c	h	u	chuooi
㒲	r	k	u	rku
㒲	r	k	u	rkuooi
㒳	l	x	i	lxiau
㒳	l	x	i	lxiauo
㒴	g	j	u	gjuoai
㒵	m	z	u	mzuiu
㒵	m	z	u	mzuiuo
㒷	x	g	i	xgia
㒷	x	g	i	xgiauo
㒹	d	m	u	dmuo
㒹	d	m	u	dmuouo
㒺	w	p	i	wpiao
㒺	w	p	i	wpiaou
㓞	q	s	v	qsvv
㓞	q	s	v	qsvvau
㓠	d	m	i	dmivii
㓢	l	l	u	lluaii
㓤	q	s	v	qsvoi
㓤	q	s	v	qsvoii
㓥	t	p	i	tpioii
㓦	b	h	v	bhvui
㓦	b	h	v	bhvuii
㓮	d	c	u	dcuai
㓮	d	c	u	dcuaii
㓰	h	q	v	hqviii
㓵	x	e	o	xeooi
㓵	x	e	o	xeooii
㓸	f	l	a	flaai
㓸	f	l	a	flaaii
㔉	q	j	a	qjavi
㔉	q	j	a	qjavii
㔕	j	k	u	jkuvau
㔮	n	l	v	nlvia
㔮	n	l	v	nlviao
㔻	p	k	v	pkvuu
㔻	p	k	v	pkvuuo
㔾	x	m	a	xmaaa
㕁	q	h	u	qhuoai
㕅	j	s	v	jsvui
㕅	j	s	v	jsvuia
㕑	j	j	v	jjvuvo
㕓	j	f	v	jfvui
㕓	j	f	v	jfvuia
㕕	h	t	a	htaoa
㕕	h	t	a	htaoao
㕘	c	f	a	cfao
㕘	c	f	a	cfaoii
㕘	c	n	a	cnaoi
㕘	c	n	a	cnaoii
㕚	f	z	a	fzao
㕚	f	z	a	fzaooo
㕚	q	z	a	qzao
㕚	q	z	a	qzaooo
㕛	y	d	a	ydaoa
㕛	y	d	a	ydaoao
㕜	e	k	i	ekiaa
㕜	e	k	i	ekiaao
㕞	e	q	a	eqa
㕞	e	q	a	eqavao
㕠	e	m	o	emo
㕠	e	m	o	emovao
㕠	e	x	o	exo
㕠	e	x	o	exovao
㕣	y	f	u	yfuo
㕣	y	f	u	yfuooo
㕥	e	n	o	enoii
㕥	r	n	o	rnoi
㕥	r	n	o	rnoii
㕥	y	k	o	ykoii
㕭	x	z	o	xzouv
㕭	x	z	o	xzouvu
㕮	f	j	o	fjou
㕮	f	j	o	fjouou
㕲	h	q	o	hqov
㕲	h	q	o	hqovv
㕲	y	e	o	yeovv
㕵	g	l	o	glovv
㕵	g	l	o	glovvi
㕶	x	n	o	xnovi
㕶	x	n	o	xnovia
㕶	x	r	o	xrov
㕶	x	r	o	xrovia
㕷	h	l	o	hloui
㕷	h	l	o	hlouia
㕷	p	s	o	psoui
㕷	p	s	o	psouia
㕼	x	y	o	xyoua
㕼	x	y	o	xyouau
㖅	x	l	o	xlovu
㖅	x	l	o	xlovuv
㖈	l	z	u	lzuoo
㖈	l	z	u	lzuooo
㖊	x	w	o	xwoavv
㖕	x	b	o	xboovo
㖘	j	n	o	jnovu
㖘	j	n	o	jnovuv
㖘	q	n	o	qnovu
㖘	q	n	o	qnovuv
㖞	w	h	o	who
㖞	w	h	o	whooia
